;40;42;44;46;48;50
tour_poitrine_haute;84;86;89;92;96;100
tour_poitrine;89;92;96;100;105;110
tour_taille;66;68;72;76;81;86
tour_bassin;89;92;96;100;105;110
carrure devant;36.1;37.1;38.9;40.5;42.5;44.5
carrure_dos;35.2;36.5;37.9;39.5;41.5;43.5
tour_cou;36;37;38;39;40;41
encolure_dos;7.5;8;8.5;9;10;11
stature;164;166;168;170;172;174
ecart_poitrine;17;18;19;20;21;21
longueur_epaule;12;13.5;13.5;14;14.5;15
longueur_dos;39.1;40;40.9;41.8;42.7;43.6
longueur_devant;40.4;41.5;42.6;43.7;44.8;45.9
profondeur_poitrine;21.8;22.5;23.2;23.9;24.6;25.1
hauteur_bassin;19.6;20;20.4;20.8;21.2;21.6
montant;23.5;24;24.6;25.2;25.8;26.5
hauteur_taille_genou;57.5;58.5;59.5;60.5;61.5;62.5
hauteur_taille_terre;102;104;105;106;107;108
tour_bras;28;29;30;31.5;33;35
tour_poignet;18;19;20;20;21;21
longueur_manche;57;58;59;60;61;61
