measure;2;3;4;5;6;8;10;12;14;16
tour_poitrine;52;54;56;58;60;64;70;78;82;88
tour_taille;48;50;52;53;54;56;58;60;61;62
tour_bassin;56;58;60;62;64;66;76;84;88;92
hauteur_bassin;7;8;9;10;11;12;14;16;17.5;19
longueur_dos;21.5;22.5;23.8;25;26.2;28.6;32;35.5;39;40.5
longueur_devant;22.9;24.1;25.3;26.5;27.7;30.1;33.5;37.7;42;43
carrure_dos;21.5;23;24;24.8;25.6;27.2;29.2;31.6;32.8;34
carrure_devant;21.5;23;24;24.5;25.2;26.6;28.5;30.6;31.8;33
longueur_epaule;7.8;8.3;8.8;9.1;9.4;10;10.9;12.1;12.7;13.3
longueur_manche;30;33;35;38;40;44;49.5;53.5;56;58.5
hauteur_coude;15;17;19;20;21;22;26;29;30.5;32
tour_bras;17;18;19;20;21;23;24;25;26;27
tour_poignet;12;12.5;13;13;13.5;13.5;14;15;15.5;16
tour_encolure;25.6;26.6;27.5;28.2;28.9;30.3;31;32;33;34
taille_terre;54;58.5;63;67.25;72;79;87;94;98;102
cheville_terre;3.5;3.5;4;4;4;4;5;5;5;5
taille_genou;28;30;32;34;36;40;46;50;54;58
montant;17.5;18;18.5;19;19.5;20;21.5;22.5;23.5;24.5
tour_genou;25;25.5;26;26.5;27;28;29;30;32;33
tour_cuisse;33;34.5;36;36.5;38;39.5;;;;
tour_cheville;16;16.5;17;17.5;18;18.5;19;19.5;20;21.5
tour_mollet;21;22;23;24;25;27;27.5;28.5;29.5;30
crane;51;52;53;54;55;56;55;55;56;56
